Date,Type,Name,Start,End,Duration
9/20/14,place,Place in Pima County,2014-09-20T20:06:00-07:00,2014-09-20T20:10:04-07:00,244
9/20/14,move,transport,2014-09-20T20:10:04-07:00,2014-09-20T21:01:24-07:00,3080
9/20/14,place,Place in Rincon Heights,2014-09-20T21:01:24-07:00,2014-09-20T21:47:46-07:00,2782
9/20/14,move,transport,2014-09-20T21:47:46-07:00,2014-09-20T21:51:56-07:00,250
9/20/14,place,Place in Pima County,2014-09-20T21:51:56-07:00,2014-09-20T22:39:54-07:00,2878
9/20/14,move,transport,2014-09-20T22:39:54-07:00,2014-09-20T23:07:50-07:00,1676
9/20/14,place,Place in Rincon Heights,2014-09-20T23:07:50-07:00,2014-09-21T00:00:00-07:00,3130
9/21/14,place,Place in Rincon Heights,2014-09-21T00:00:00-07:00,2014-09-21T13:09:33-07:00,47373
9/21/14,move,transport,2014-09-21T13:09:33-07:00,2014-09-21T13:12:25-07:00,172
9/21/14,place,Place in Pie Allen,2014-09-21T13:12:25-07:00,2014-09-21T14:52:52-07:00,6027
9/21/14,move,walking,2014-09-21T14:52:52-07:00,2014-09-21T14:55:00-07:00,128
9/21/14,move,transport,2014-09-21T14:55:00-07:00,2014-09-21T15:04:54-07:00,594
9/21/14,place,Place in Pima County,2014-09-21T15:04:54-07:00,2014-09-21T15:15:02-07:00,608
9/21/14,move,transport,2014-09-21T15:15:02-07:00,2014-09-21T15:20:10-07:00,308
9/21/14,place,Place in Rincon Heights,2014-09-21T15:20:10-07:00,2014-09-22T00:00:00-07:00,31190
9/22/14,place,Place in Rincon Heights,2014-09-22T00:00:00-07:00,2014-09-22T08:02:50-07:00,28970
9/22/14,move,transport,2014-09-22T08:02:50-07:00,2014-09-22T08:09:24-07:00,394
9/22/14,move,walking,2014-09-22T08:09:25-07:00,2014-09-22T08:13:51-07:00,266
9/22/14,place,Place in El Presidio,2014-09-22T08:13:50-07:00,2014-09-22T10:52:48-07:00,9538
9/22/14,move,walking,2014-09-22T10:52:48-07:00,2014-09-22T10:55:43-07:00,175
9/22/14,move,transport,2014-09-22T10:55:44-07:00,2014-09-22T11:02:42-07:00,418
9/22/14,place,Place in Rincon Heights,2014-09-22T11:02:41-07:00,2014-09-22T11:09:48-07:00,427
9/22/14,move,walking,2014-09-22T11:09:48-07:00,2014-09-22T11:21:00-07:00,672
9/22/14,place,Place in Rincon Heights,2014-09-22T11:20:59-07:00,2014-09-22T11:32:46-07:00,707
9/22/14,move,walking,2014-09-22T11:32:46-07:00,2014-09-22T11:39:57-07:00,431
9/22/14,place,Place in Rincon Heights,2014-09-22T11:39:57-07:00,2014-09-22T13:02:23-07:00,4946
9/22/14,place,Place in Rincon Heights,2014-09-22T13:02:23-07:00,2014-09-22T13:51:21-07:00,2938
9/22/14,move,walking,2014-09-22T13:51:21-07:00,2014-09-22T14:00:40-07:00,559
9/22/14,place,Place in West University,2014-09-22T14:00:40-07:00,2014-09-22T14:42:12-07:00,2492
9/22/14,place,Place in Rincon Heights,2014-09-22T14:42:12-07:00,2014-09-22T16:08:49-07:00,5197
9/22/14,move,walking,2014-09-22T16:08:49-07:00,2014-09-22T16:27:15-07:00,1106
9/22/14,place,Place in Rincon Heights,2014-09-22T16:27:15-07:00,2014-09-22T17:10:35-07:00,2600
9/22/14,move,transport,2014-09-22T17:10:35-07:00,2014-09-22T17:29:27-07:00,1132
9/22/14,place,Place in Pima County,2014-09-22T17:29:27-07:00,2014-09-22T18:01:26-07:00,1919
9/22/14,move,transport,2014-09-22T18:01:26-07:00,2014-09-22T18:20:11-07:00,1125
9/22/14,move,walking,2014-09-22T18:20:11-07:00,2014-09-22T18:26:28-07:00,377
9/22/14,place,Place in Rincon Heights,2014-09-22T18:26:27-07:00,2014-09-22T18:41:50-07:00,923
9/22/14,place,Place in Rincon Heights,2014-09-22T18:43:25-07:00,2014-09-22T21:34:13-07:00,10248
9/22/14,place,Place in Rincon Heights,2014-09-22T21:34:51-07:00,2014-09-23T00:00:00-07:00,8709
9/23/14,place,Place in Rincon Heights,2014-09-23T00:00:00-07:00,2014-09-23T08:25:21-07:00,30321
9/23/14,move,transport,2014-09-23T08:25:21-07:00,2014-09-23T08:32:32-07:00,431
9/23/14,move,walking,2014-09-23T08:32:31-07:00,2014-09-23T08:35:30-07:00,179
9/23/14,place,Place in El Presidio,2014-09-23T08:35:31-07:00,2014-09-23T10:02:16-07:00,5205
9/23/14,move,walking,2014-09-23T10:02:16-07:00,2014-09-23T10:05:47-07:00,211
9/23/14,move,transport,2014-09-23T10:05:47-07:00,2014-09-23T10:11:08-07:00,321
9/23/14,place,Place in Rincon Heights,2014-09-23T10:11:07-07:00,2014-09-23T10:26:40-07:00,933
9/23/14,move,walking,2014-09-23T10:26:40-07:00,2014-09-23T10:41:26-07:00,886
9/23/14,place,Place in Rincon Heights,2014-09-23T10:41:27-07:00,2014-09-23T13:25:08-07:00,9821
9/23/14,move,walking,2014-09-23T13:25:08-07:00,2014-09-23T13:39:47-07:00,879
9/23/14,place,Place in Rincon Heights,2014-09-23T13:39:47-07:00,2014-09-23T14:29:10-07:00,2963
9/23/14,move,walking,2014-09-23T14:29:10-07:00,2014-09-23T14:48:58-07:00,1188
9/23/14,place,Place in West University,2014-09-23T14:48:58-07:00,2014-09-23T14:56:13-07:00,435
9/23/14,move,walking,2014-09-23T14:56:13-07:00,2014-09-23T15:03:00-07:00,407
9/23/14,place,Place in Rincon Heights,2014-09-23T15:03:00-07:00,2014-09-23T16:47:27-07:00,6267
9/23/14,move,walking,2014-09-23T16:47:27-07:00,2014-09-23T17:06:38-07:00,1151
9/23/14,place,Place in Rincon Heights,2014-09-23T17:06:38-07:00,2014-09-23T20:24:31-07:00,11873
9/23/14,move,transport,2014-09-23T20:24:31-07:00,2014-09-23T20:35:01-07:00,630
9/23/14,place,Place in Pascua Yaqui Indian Village,2014-09-23T20:35:02-07:00,2014-09-23T21:12:32-07:00,2250
9/23/14,move,transport,2014-09-23T21:12:32-07:00,2014-09-23T21:18:23-07:00,351
9/23/14,move,walking,2014-09-23T21:18:23-07:00,2014-09-23T21:23:33-07:00,310
9/23/14,move,transport,2014-09-23T21:23:33-07:00,2014-09-23T21:39:12-07:00,939
9/23/14,place,Place in Rincon Heights,2014-09-23T21:39:12-07:00,2014-09-24T00:00:00-07:00,8448
9/24/14,place,Place in Rincon Heights,2014-09-24T00:00:00-07:00,2014-09-24T08:30:41-07:00,30641
9/24/14,move,transport,2014-09-24T08:30:41-07:00,2014-09-24T08:37:58-07:00,437
9/24/14,move,walking,2014-09-24T08:37:59-07:00,2014-09-24T08:41:40-07:00,221
9/24/14,place,Place in El Presidio,2014-09-24T08:41:40-07:00,2014-09-24T09:52:47-07:00,4267
9/24/14,place,Place in El Presidio,2014-09-24T10:29:09-07:00,2014-09-24T10:58:53-07:00,1784
9/24/14,move,walking,2014-09-24T10:58:53-07:00,2014-09-24T11:02:30-07:00,217
9/24/14,move,transport,2014-09-24T11:02:30-07:00,2014-09-24T11:10:49-07:00,499
9/24/14,place,Place in Rincon Heights,2014-09-24T11:10:49-07:00,2014-09-24T11:37:12-07:00,1583
9/24/14,move,walking,2014-09-24T11:37:12-07:00,2014-09-24T11:51:42-07:00,870
9/24/14,place,Place in Rincon Heights,2014-09-24T11:51:42-07:00,2014-09-24T13:48:43-07:00,7021
9/24/14,place,Place in Rincon Heights,2014-09-24T13:48:44-07:00,2014-09-24T14:32:43-07:00,2639
9/24/14,place,Place in Rincon Heights,2014-09-24T14:32:43-07:00,2014-09-24T16:12:19-07:00,5976
9/24/14,move,walking,2014-09-24T16:12:19-07:00,2014-09-24T16:31:39-07:00,1160
9/24/14,move,transport,2014-09-24T16:31:38-07:00,2014-09-24T16:59:40-07:00,1682
9/24/14,place,Place in Rincon Heights,2014-09-24T16:59:40-07:00,2014-09-24T18:32:49-07:00,5589
9/24/14,move,walking,2014-09-24T18:32:49-07:00,2014-09-24T18:34:46-07:00,117
